accession	keywords	base_count	last_updated	first_public	description
AY154838		880	2005-04-16	2003-03-03	Drosophila mojavensis strain MJBC 202.2 alcohol dehydrogenase 1 (Adh-1) gene, complete cds.
AY154870		879	2005-04-16	2003-03-03	Drosophila mojavensis strain MJBC 95.1 alcohol dehydrogenase 2 (Adh-2) gene, complete cds.
AY165517		743	2006-11-14	2003-04-22	Drosophila americana alcohol dehydrogenase (Adh) gene, exons 1, 2, and 3 and partial cds.
AY754433		740	2006-11-14	2005-04-04	Drosophila affinis alcohol dehydrogenase-like protein (Adh-r) gene, exons 2, 3 and partial cds.
AF348882		667	2006-11-14	2001-04-16	Drosophila triauraria strain WWJ alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
AF348883		667	2006-11-14	2001-04-16	Drosophila quadraria strain NIG alcohol dehydrogenase (adh) gene, exons 2, 3 and 4, and partial cds.
CK131244	EST	503	2003-12-03	2003-12-03	GH25181.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH25181 3 similar to Adh: FBan0003481 GO:[ethanol oxidation (GO:0006069) alcohol dehydrogenase (GO:0004022) alcohol dehydrogenase (GO:0004022)] located on: 2L 35B3-35B3 : 08/14/2002, mRNA sequence.
AB194414		17499	2006-02-27	2005-05-07	Drosophila parabipectinata osp, siren1, siren2, Adh, Adhr genes for hypothetical proteins, alcohol dehydrogenase, hypothetical protein, partial and complete cds.
CV850204	EST	193	2004-11-19	2004-11-19	zaa68d07.x1 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.
CV784997	EST	542	2004-11-12	2004-11-12	zaa07e12.x2 D yakuba testes cDNA Drosophila yakuba cDNA 3' similar to SW:ADH_DROME P00334 ALCOHOL DEHYDROGENASE , mRNA sequence.
CV043184	EST	393	2004-08-24	2004-08-24	dba16c04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADH_DROSI P07163 ALCOHOL DEHYDROGENASE , mRNA sequence.
CV528161	EST	384	2004-10-08	2004-10-08	dba57a04.y1 Drosophila simulans testis pSport1 library Drosophila simulans cDNA 5' similar to SW:ADHX_DROME P46415 ALCOHOL DEHYDROGENASE CLASS III , mRNA sequence.
AY695386		1133	2006-11-14	2006-08-01	Drosophila cardini alcohol dehydrogenase (Adh) gene, exons 1 through 3 and partial cds Adh-Adhr intergenic spacer, complete sequence and ADHR (Adhr) gene, exon 1 and partial cds.
BG632098	EST	798	2003-12-03	2001-04-28	GH03334.3prime GH Drosophila melanogaster head pOT2 Drosophila melanogaster cDNA clone GH03334 3 similar to CG4796: FBan0004796 'alcohol dehydrogenase, iron-dependent' located on: 3R 86D6-86D7 : 04/10/2001, mRNA sequence.
BF486174	EST	816	2001-04-25	2000-12-07	AT20387.5prime AT Drosophila melanogaster adult testes pOTB7 Drosophila melanogaster cDNA clone AT20387 5 similar to CG5590: FBan0005590 'alcohol dehydrogenase, iron-dependent' located on: 3R 98A6-98A6 : 04/09/2001, mRNA sequence.
BI608471	EST	530	2001-09-10	2001-09-10	RH13023.5prime RH Drosophila melanogaster normalized Head pFlc-1 Drosophila melanogaster cDNA clone RH13023 5 similar to CG2767: FBan0002767 GO:[alcohol dehydrogenase (NADP+) (GO:0008106)] located on: 3R 84E5-84E5 : 08/16/2001, mRNA sequence.
M57300	alcohol dehydrogenase, pseudogene	4616	2006-11-14	1991-06-27	Drosophila mettleri alcohol dehydrogenase gene, complete cds, and alcohol dehydrogenase pseudogene, complete.
AF006566		3486	2005-04-15	1997-09-11	Drosophila persimilis alcohol dehydrogenase (Adh) and alcohol dehydrogenase (Adh-dup) genes, complete cds.
AY279328		2698	2006-11-14	2004-03-31	Drosophila mimetica alcohol dehydrogenase (Adh) and alcohol dehydrogenase related (Adhr) genes, complete cds.
X04672	ADH gene, alcohol dehydrogenase, alternate splicing, dehydrogenase	4582	2006-11-14	1987-06-07	Drosophila sechellia gene for alcohol dehydrogenase
M60793	alcohol dehydrogenase	894	2006-11-14	1992-06-06	Drosophila nigra alcohol dehydrogenase gene, complete cds.
M63287	alcohol dehydrogenase	1634	2006-11-14	1991-04-04	Drosophila heteroneura alcohol dehydrogenase gene, complete cds.
M63390	alcohol dehydrogenase	1616	2006-11-14	1991-04-04	Drosophila planitibia alcohol dehydrogenase gene, complete cds.
U68472		1403	1999-09-17	1999-01-06	Drosophila madeirensis alcohol dehydrogenase (Adh) processed pseudogene.
X62222	ADH gene, alcohol dehydrogenase	3479	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62236	ADH gene, alcohol dehydrogenase	3479	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64471	ADH gene, alcohol dehydrogenase	3493	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64478	ADH gene, alcohol dehydrogenase	3506	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
JF735885		531	2011-10-24	2011-10-24	Drosophila tenebrosa alcohol dehydrogenase gene, partial cds.
M63303	alcohol dehydrogenase	1630	2006-11-14	1991-04-04	Drosophila differens alcohol dehydrogenase gene, complete cds.
U68470		1323	1999-09-17	1999-01-06	Drosophila guanche alcohol dehydrogenase (Adh) processed pseudogene.
X62184	ADH gene, alcohol dehydrogenase	3481	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62186	ADH gene, alcohol dehydrogenase	3501	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62192	ADH gene, alcohol dehydrogenase	3481	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62233	ADH gene, alcohol dehydrogenase	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
M19263	alcohol dehydrogenase	4607	2006-11-14	1988-10-04	D.simulans alcohol dehydrogenase gene, complete cds.
X62209	ADH gene, alcohol dehydrogenase	3457	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62189	ADH gene, alcohol dehydrogenase	3457	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62198	ADH gene, alcohol dehydrogenase	3485	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62200	ADH gene, alcohol dehydrogenase	3480	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62225	ADH gene, alcohol dehydrogenase	3478	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62182	ADH gene, alcohol dehydrogenase	3502	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62194	ADH gene, alcohol dehydrogenase	3465	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62203	ADH gene, alcohol dehydrogenase	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62215	ADH gene, alcohol dehydrogenase	3499	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X62191	ADH gene, alcohol dehydrogenase	3472	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
X64469	ADH gene, alcohol dehydrogenase	3471	2006-11-14	1992-10-16	D.pseudoobscura Adh gene for alcohol dehydrogenase
U07641		1140	2005-04-17	1994-07-04	Drosophila melanogaster alcohol dehydrogenase mRNA, complete cds.
AY238779		2042	2005-04-16	2003-04-08	Drosophila miranda strain SP295 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238775		2042	2005-04-16	2003-04-08	Drosophila miranda strain MA32 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF264078		405	2005-04-15	2000-05-30	Drosophila paulistorum alcohol dehydrogenase (Adh) gene, partial cds.
AF264079		405	2005-04-15	2000-05-30	Drosophila pavlovskiana alcohol dehydrogenase (Adh) gene, partial cds.
DQ471662		711	2006-07-20	2006-07-20	Drosophila littoralis alcohol dehydrogenase (Adh) gene, partial cds.
MG684381		730	2018-02-04	2018-02-04	Drosophila kepulauana alcohol dehydrogenase (Adh) gene, partial cds.
U26838		957	2005-04-17	1995-06-30	Drosophila flavomontana alcohol dehydrogenase (Adh) gene, complete cds.
U94199		222	2005-04-18	1998-02-23	Drosophila lineosetae alcohol dehydrogenase (Adh) gene, partial cds.
U94207		204	2005-04-18	1998-02-23	Drosophila tanythrix alcohol dehydrogenase (Adh) gene, partial cds.
X78402	ADH, alcohol dehydrogenase, alcohol dehydrogenase null activity allele	44	2006-11-14	1994-05-31	D.melanogaster DNA alcohol dehydrogenase null activity allele
AF264080		405	2005-04-15	2000-05-30	Drosophila sucinea alcohol dehydrogenase (Adh) gene, partial cds.
AY006419		510	2005-09-26	2001-09-04	Drosophila planitibia alcohol dehydrogenase (Adh) gene, partial cds.
AY006421		510	2005-09-26	2001-09-04	Drosophila substenoptera alcohol dehydrogenase (Adh) gene, partial cds.
AY006425		510	2005-09-26	2001-09-04	Drosophila ingens alcohol dehydrogenase (Adh) gene, partial cds.
DQ471665		711	2006-07-20	2006-07-20	Drosophila montana alcohol dehydrogenase (Adh) gene, partial cds.
EU532120		566	2010-01-21	2010-01-21	Drosophila insularis alcohol dehydrogenase (Adh) gene, partial cds.
HQ631468		290	2012-01-02	2011-08-30	Drosophila pseudoobscura alcohol dehydrogenase (adh) gene, partial cds.
HQ631476		290	2012-01-02	2011-08-30	Drosophila leontia alcohol dehydrogenase (adh) gene, partial cds.
MG684383		719	2018-02-04	2018-02-04	Drosophila siamana alcohol dehydrogenase (Adh) gene, partial cds.
U48715		3335	2005-04-17	1996-04-10	Drosophila hawaiiensis alcohol dehydrogenase (Adh) gene, complete cds.
AF059891		290	2005-04-15	1998-04-28	Drosophila robusta alcohol dehydrogenase (Adh) gene, partial cds.
AY006408		510	2005-09-26	2001-09-04	Drosophila hanaulae alcohol dehydrogenase (Adh) gene, partial cds.
AY750117		911	2006-07-20	2005-12-31	Drosophila longiserrata alcohol dehydrogenase (Adh) gene, partial cds.
AY750124		911	2006-07-20	2005-12-31	Drosophila micromelanica alcohol dehydrogenase (Adh) gene, partial cds.
AY750135		911	2006-07-20	2005-12-31	Drosophila medioconstricta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471629		711	2006-07-20	2006-07-20	Drosophila polychaeta alcohol dehydrogenase (Adh) gene, partial cds.
DQ471632		711	2006-07-20	2006-07-20	Drosophila daruma alcohol dehydrogenase (Adh) gene, partial cds.
DQ471633		711	2006-07-20	2006-07-20	Drosophila fluvialis alcohol dehydrogenase (Adh) gene, partial cds.
DQ471666		711	2006-07-20	2006-07-20	Drosophila nannoptera alcohol dehydrogenase (Adh) gene, partial cds.
X98338	ADH protein, ADHR protein	2071	2005-04-18	1996-12-22	D.melanogaster mRNA for alcohol dehydrogenase related protein
DQ471627		711	2006-07-20	2006-07-20	Drosophila angor alcohol dehydrogenase (Adh) gene, partial cds.
DQ471634		711	2006-07-20	2006-07-20	Drosophila latifshahi alcohol dehydrogenase (Adh) gene, partial cds.
AF264076		405	2005-04-15	2000-05-30	Drosophila insularis alcohol dehydrogenase (Adh) gene, partial cds.
AY006414		510	2005-09-26	2001-09-04	Drosophila silvestris alcohol dehydrogenase (Adh) gene, partial cds.
AY006416		510	2005-09-26	2001-09-04	Drosophila differens alcohol dehydrogenase (Adh) gene, partial cds.
DQ471656		711	2006-07-20	2006-07-20	Drosophila anceps alcohol dehydrogenase (Adh) gene, partial cds.
AF264075		405	2005-04-15	2000-05-30	Drosophila fumipennis alcohol dehydrogenase (Adh) gene, partial cds.
AY006422		510	2005-09-26	2001-09-04	Drosophila melanocephala alcohol dehydrogenase (Adh) gene, partial cds.
U90955		453	2006-11-14	1997-11-14	Drosophila obscura alcohol dehydrogenase (Adh) gene, partial cds.
EU532118		573	2010-01-21	2010-01-21	Drosophila equinoxialis alcohol dehydrogenase (Adh) gene, partial cds.
EU532119		533	2010-01-21	2010-01-21	Drosophila willistoni alcohol dehydrogenase (Adh) gene, partial cds.
GQ376036		410	2009-08-03	2009-08-02	Drosophila serrata alcohol dehydrogenase (ADH) gene, partial cds.
U90953		432	2006-11-14	1997-11-14	Drosophila hubeiensis alcohol dehydrogenase (Adh) gene, partial cds.
GQ376031		410	2009-08-03	2009-08-02	Drosophila sulfurigaster alcohol dehydrogenase (ADH) gene, partial cds.
GQ376032		410	2009-08-03	2009-08-02	Drosophila birchii alcohol dehydrogenase (ADH) gene, partial cds.
U94208		204	2005-04-18	1998-02-23	Drosophila dasycnemia alcohol dehydrogenase (Adh) gene, partial cds.
U48714		3644	2005-04-18	1996-04-08	Idiomyia grimshawi alcohol dehydrogenase (Adh) gene, complete cds.
AY238771		2042	2005-04-16	2003-04-08	Drosophila miranda strain 0101.4 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AY238773		2042	2005-04-16	2003-04-08	Drosophila miranda strain 0101.7 alcohol dehydrogenase (Adh) gene, complete cds and alcohol dehydrogenase related protein (Adhr) gene, partial cds.
AF260696		487	2005-04-15	2000-09-20	Drosophila biseriata alcohol dehydrogenase-related protein gene, partial cds.
KM016476		478	2014-09-24	2014-09-24	Drosophila simulans isolate KY34 alcohol dehydrogenase-related gene, intron.
U95267		1172	2005-04-18	1999-01-06	Drosophila willistoni PA3 alcohol dehydrogenase (Adh) gene, complete cds.
KM016473		480	2014-09-24	2014-09-24	Drosophila simulans isolate KY02 alcohol dehydrogenase-related gene, intron.
AB261129		835	2007-11-03	2007-11-03	Drosophila annulipes Adh gene for alcohol dehydrogenase, partial cds.
AB261130		859	2007-11-03	2007-11-03	Drosophila quadrilineata Adh gene for alcohol dehydrogenase, partial cds.
AB261141		820	2007-11-03	2007-11-03	Drosophila busckii Adh gene for alcohol dehydrogenase, partial cds.
AF260694		453	2005-04-15	2000-09-20	Drosophila funebris alcohol dehydrogenase-related protein gene, partial cds.
AF260698		451	2005-04-15	2000-09-20	Drosophila repleta alcohol dehydrogenase-related protein gene, partial cds.
AY279322		1741	2006-11-14	2004-03-31	Drosophila yakuba alcohol dehydrogenase related (Adhr) gene, complete cds.
KM016468		476	2014-09-24	2014-09-24	Drosophila simulans isolate KY33 alcohol dehydrogenase-related gene, intron.
AY279324		976	2006-11-14	2004-03-31	Drosophila erecta alcohol dehydrogenase related (Adhr) gene, partial cds.
DQ471636		711	2006-07-20	2006-07-20	Drosophila sp. T alcohol dehydrogenase (Adh) gene, partial cds.
U76485		261	2000-03-04	1997-03-06	Drosophila mulleri alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U76486		245	2000-03-04	1997-03-06	Drosophila mojavensis alcohol dehydrogenase (Adh-Finnegan) mRNA, partial cds.
U95265		1172	2005-04-18	1999-01-06	Drosophila willistoni PA1 alcohol dehydrogenase (Adh) gene, complete cds.
DQ471643		711	2006-07-20	2006-07-20	Drosophila virilis strain 174 alcohol dehydrogenase (Adh) gene, partial cds.
U95257		1172	2005-04-18	1999-01-06	Drosophila willistoni Belize VI alcohol dehydrogenase (Adh) gene, complete cds.
AB154554		686	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh13.
AF201434		480	2006-11-14	2000-07-03	Drosophila simulans isolate C167 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201448		479	2006-11-14	2000-07-03	Drosophila simulans isolate MD221 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284474		702	2006-11-14	2000-11-02	Drosophila mauritiana strain 105 alcohol dehydrogenase (Adh) gene, partial cds.
AF284478		701	2006-11-14	2000-11-02	Drosophila mauritiana strain Lig72 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471617		711	2006-07-20	2006-07-20	Drosophila angor strain 118 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471642		711	2006-07-20	2006-07-20	Drosophila barutani strain 176 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110511		795	2011-06-02	2011-05-06	Drosohpila nebulosa isolate D_nebu_c3 alcohol dehydrogenase (Adh) gene, partial cds.
HQ110513		832	2011-06-02	2011-05-06	Drosophila neocordata isolate D_neoc_c2 alcohol dehydrogenase (Adh) gene, partial cds.
KX976506		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_COST_1235_2 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976515		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_3_23 alcohol dehydrogenase (Adh) mRNA, complete cds.
KX976519		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_4_21 alcohol dehydrogenase (Adh) mRNA, complete cds.
M62742	alcohol dehydrogenase II	905	2006-11-14	1991-07-11	D.mayaguana alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
U95275		1251	2005-04-18	1999-01-06	Drosophila nebulosa 0761.0 alcohol dehydrogenase (Adh) gene, complete cds.
AB154552		683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh11.
AF201425		475	2006-11-14	2000-07-03	Drosophila mauritiana isolate G52 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201428		479	2006-11-14	2000-07-03	Drosophila simulans isolate TT00 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201432		480	2006-11-14	2000-07-03	Drosophila simulans isolate NC37 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201437		479	2006-11-14	2000-07-03	Drosophila simulans isolate MD106 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201440		479	2006-11-14	2000-07-03	Drosophila simulans isolate RU35 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201441		480	2006-11-14	2000-07-03	Drosophila simulans isolate RU00 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095941		431	2008-12-16	2003-05-01	Drosophila kuntzei isolate kun3 alcohol dehydrogenase (Adh) gene, partial cds.
AY095947		442	2008-12-16	2003-05-01	Drosophila unispina isolate uni1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471614		711	2006-07-20	2006-07-20	Drosophila angor strain C120 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471625		711	2006-07-20	2006-07-20	Drosophila perlucida strain 186 alcohol dehydrogenase (Adh) gene, partial cds.
M62743	alcohol dehydrogenase II	908	2006-11-14	1991-07-11	D.buzzatii alcohol dehydrogenase-2 (ADH-2) gene, complete cds.
U95251		1174	2005-04-18	1999-01-06	Drosophila willistoni 0811.0 alcohol dehydrogenase (Adh) gene, complete cds.
U95256		1172	2005-04-18	1999-01-06	Drosophila willistoni Belize II alcohol dehydrogenase (Adh) gene, complete cds.
KX384732		1122	2017-01-03	2017-01-03	Drosophila nasuta strain IND_DN_U11 alcohol dehydrogenase (Adh) gene, partial cds.
AB154561		683	2005-04-14	2004-04-01	Drosophila kikkawai gene for alcohol dehydrogenase, partial cds, isolate:DkikAdh20.
AF201436		480	2006-11-14	2000-07-03	Drosophila simulans isolate DSR alcohol dehydrogenase (Adhr) gene, intron 1.
AF201438		480	2006-11-14	2000-07-03	Drosophila simulans isolate MD225 alcohol dehydrogenase (Adhr) gene, intron 1.
AF201443		479	2006-11-14	2000-07-03	Drosophila simulans isolate RU07 alcohol dehydrogenase (Adhr) gene, intron 1.
AF284477		702	2006-11-14	2000-11-02	Drosophila mauritiana strain 207 alcohol dehydrogenase (Adh) gene, partial cds.
AY804555		759	2005-10-06	2005-10-06	Drosophila yakuba strain Tai18 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471646		711	2006-07-20	2006-07-20	Drosophila bipatita strain 246 alcohol dehydrogenase (Adh) gene, partial cds.
JX455215		480	2014-01-02	2012-09-03	Drosophila simulans isolate HW46 alcohol dehydrogenase (Adhr) gene, intron 1.
AY095935		447	2008-12-16	2003-05-01	Drosophila limbata isolate lim1 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471641		711	2006-07-20	2006-07-20	Drosophila neokadai strain 172 alcohol dehydrogenase (Adh) gene, partial cds.
AY095950		430	2008-12-16	2003-05-01	Drosophila phalerata isolate pha2 alcohol dehydrogenase (Adh) gene, partial cds.
AY335201		792	2005-04-16	2003-12-31	Drosophila sturtevanti clone Dsturt3 alcohol dehydrogenase (Adh) gene, partial cds.
DQ471647		711	2006-07-20	2006-07-20	Drosophila bai strain 247 alcohol dehydrogenase (Adh) gene, partial cds.
KX976490		771	2016-11-12	2016-11-12	Drosophila yakuba isolate Yakuba_BIOKO_NE_4_6 alcohol dehydrogenase (Adh) mRNA, complete cds.
DQ471622		711	2006-07-20	2006-07-20	Drosophila hei strain 4 alcohol dehydrogenase (Adh) gene, partial cds.
AB669828		842	2014-01-02	2014-01-02	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B660.
AB669872		843	2014-01-02	2014-01-02	Drosophila ohnishii Adh gene for alcohol dehydrogenase, partial cds, strain: MMY326.
AB825962		836	2015-12-16	2015-12-16	Drosophila trapezifrons Adh gene for alcohol dehydrogenase, partial cds, strain: Bavi31.
AF459767		290	2006-11-14	2002-05-16	Drosophila nikananu alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459783		290	2006-11-14	2002-05-16	Drosophila rufa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AY459545		618	2006-08-19	2003-11-30	Drosophila simulans alcohol dehydrogenase gene, partial cds and 5' flanking region.
EU999242		840	2008-09-09	2008-09-09	Drosophila americana isolate FP99.33 alcohol dehydrogenase (Adh) gene, partial cds.
KJ767237		872	2014-10-29	2014-09-04	Drosophila melanogaster strain Oregon R alcohol dehydrogenase (Adh) gene, partial cds.
U64522		3481	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS228 allele, complete cds.
U64544		3476	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS317 allele, complete cds.
U64559		3499	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS356 allele, complete cds.
AB669827		842	2014-01-02	2014-01-02	Drosophila biauraria Adh gene for alcohol dehydrogenase, partial cds, strain: B16.
AB669849		833	2014-01-02	2014-01-02	Drosophila burlai Adh gene for alcohol dehydrogenase, partial cds, strain: L6.
AF136692		884	2005-04-15	1999-06-03	Drosophila americana americana G96.40Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136702		884	2005-04-15	1999-06-03	Drosophila americana texana LP97.08 alcohol dehydrogenase (Adh) gene, partial cds.
AF136704		884	2005-04-15	1999-06-03	Drosophila americana texana LP97.13 alcohol dehydrogenase (Adh) gene, partial cds.
AF201423		479	2006-11-14	2000-07-03	Drosophila melanogaster isolate Oregon R alcohol dehydrogenase (Adhr) gene, intron 1.
AF459760		290	2006-11-14	2002-05-16	Drosophila eugracilis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459764		290	2006-11-14	2002-05-16	Drosophila punjabiensis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
EF560576		622	2008-07-12	2008-05-01	Drosophila gasici pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
L78923	alcohol dehydrogenase	822	2005-04-17	1996-06-25	Drosophila mimica (strain 15292-2561.3) alcohol dehydrogenase gene, partial cds.
U76470		897	2005-04-18	1996-11-19	Drosophila hydei strain 2 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
AB669830		838	2014-01-02	2014-01-02	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: ISGB1.
AB669841		842	2014-01-02	2014-01-02	Drosophila triauraria Adh gene for alcohol dehydrogenase, partial cds, strain: T544.
AF136656		884	2005-04-15	1999-06-03	Drosophila americana americana G96.03X alcohol dehydrogenase (Adh) gene, partial cds.
AF136663		884	2005-04-15	1999-06-03	Drosophila americana americana G96.30X alcohol dehydrogenase (Adh) gene, partial cds.
AF136673		884	2005-04-15	1999-06-03	Drosophila americana americana G96.45X alcohol dehydrogenase (Adh) gene, partial cds.
AF136681		884	2005-04-15	1999-06-03	Drosophila americana americana G96.03Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136698		884	2005-04-15	1999-06-03	Drosophila americana americana G96.46Y alcohol dehydrogenase (Adh) gene, partial cds.
AF136700		884	2005-04-15	1999-06-03	Drosophila americana texana LP97.03 alcohol dehydrogenase (Adh) gene, partial cds.
AF175218		951	1999-12-21	1999-10-06	Drosophila melanogaster alcohol dehydrogenase (Adh) gene, Adh-k35 allele, complete cds.
AF459749		290	2006-11-14	2002-05-16	Drosophila takahashii alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459750		290	2006-11-14	2002-05-16	Drosophila lutescens alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AY695389		507	2006-08-01	2006-08-01	Drosophila dunni strain Puerto Rico alcohol dehydrogenase (Adh) mRNA, partial cds.
U64536		3498	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS273 allele, complete cds.
U76476		897	2005-04-18	1996-11-19	Drosophila hydei strain 8 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X54118	ADH gene, Adh-related gene, alcohol dehydrogenase	4321	2006-11-14	1992-04-14	D.teissieri Adh gene for alcohol dehydrogenase and Adh-related gene
AF459751		290	2006-11-14	2002-05-16	Drosophila lucipennis alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AF459781		290	2006-11-14	2002-05-16	Drosophila orosa alcohol dehydrogenase (Adh) gene, exon 2 and partial cds.
AB669894		830	2014-01-02	2014-01-02	Drosophila truncata Adh gene for alcohol dehydrogenase, partial cds, strain: RGN179.
AB669833		843	2014-01-02	2014-01-02	Drosophila quadraria Adh gene for alcohol dehydrogenase, partial cds, strain: Q.
EF560577		605	2008-07-12	2008-05-01	Drosophila mesophragmatica pop-variant Bogota alcohol dehydrogenase (adh) gene, partial cds.
U64555		3467	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS348 allele, complete cds.
U64526		3475	2005-04-18	1996-08-16	Drosophila pseudoobscura alcohol dehydrogenase (Adh) gene, Adh-PS242 allele, complete cds.
U76474		897	2005-04-18	1996-11-19	Drosophila hydei strain 6 alcohol dehydrogenase (Adh-Finnegan) gene, partial cds.
X54116	ADH gene, Adh-related gene, alcohol dehydrogenase	3867	2006-11-14	1992-04-14	D.erecta Adh gene for alcohol dehydrogenase and Adh-related gene
AB669829		838	2014-01-02	2014-01-02	Drosophila lacteicornis Adh gene for alcohol dehydrogenase, partial cds, strain: BG0571.0.
AB669861		833	2014-01-02	2014-01-02	Drosophila cauverii Adh gene for alcohol dehydrogenase, partial cds, strain: cauv-CNRS.
AF136677		884	2005-04-15	1999-06-03	Drosophila americana americana D.am-.6Y alcohol dehydrogenase (Adh) gene, partial cds.
AY340302		881	2005-04-16	2003-08-13	Drosophila americana pop-variant NN97.08Y alcohol dehydrogenase (Adh) gene, partial cds.
AY364513		879	2005-04-16	2004-01-30	Drosophila mojavensis strain MJS 68 alcohol dehydrogenase-2 (Adh2) gene, complete cds.
AY340278		881	2005-04-16	2003-08-13	Drosophila americana pop-variant DN00.01X alcohol dehydrogenase (Adh) gene, partial cds.
AY340292		881	2005-04-16	2003-08-13	Drosophila americana pop-variant NN00.09X alcohol dehydrogenase (Adh) gene, partial cds.
AY340294		881	2005-04-16	2003-08-13	Drosophila americana pop-variant DN00.02Y alcohol dehydrogenase (Adh) gene, partial cds.
